Answerer-id	Question-id
5631647	1456751
7156607	773263
6275103	10452965
1727232	434269
6550012	413225
11886417	181691
106224	434269
5159168	11533467
6487675	10260104
2182710	398431
565956	398431
565339	398431
397816	398431
5424988	3854365
4914999	3854365
6556397	3854365
8221084	455676
11123254	11123254
764312	11123254
8919282	9860030
2920378	9860030
1213708	9860030
5260982	9860030
11337114	9860030
3910308	3004909
6556397	3004909
10493775	326544
1491895	9772227
1839439	10570973
729324	434269
511529	2451357
6487675	10047927
9284419	9398461
1919360	9398461
9284419	9398461
9284419	9398461
1172798	10749565
4804629	10990694
6498658	10990694
1491895	3560705
5424988	10916956
6224176	6532208
6482022	6532208
3392762	6532208
4709325	10449848
4934937	10449848
1255289	4493253
4493253	4493253
458214	7316513
3031021	7316513
1925943	7316513
6175210	7316513
3392762	user9819807
9473764	user9819807
6224176	user9819807
4680018	user9819807
1657819	9505581
5104748	9792447
10488923	9792447
3419535	1330199
3041435	10366695
2469308	10366695
5104748	10366695
7057048	10366695
842050	773263
10323778	10073627
244537	10073627
1489444	10073627
5159168	4049399
6349751	4049399
1966490	4049399
5856964	4049399
6135647	4784242
7141122	1456751
1753768	434269
8699056	6826428
3604087	6826428
4864628	1662139
6321332	10071131
6830635	10083779
8291949	6265376
5424988	10083779
9770508	10083779
9230154	10083779
1207346	4608052
4023344	4608052
5424988	9917480
8649653	9917480
3747630	9917480
2265374	9704066
9896625	9704066
1213708	9704066
1146883	9704066
9858653	9704066
1229023	8780639
2302167	8780639
8473036	434269
6548457	9104862
8856580	9842097
2013229	9842097
6559962	98514
6559962	332726
815170	8821554
223992	5199242
2257664	5199242
9668701	5199242
2612651	5445432
2191572	5445432
3684882	5445432
9541286	9565292
8763261	user8717594
1829499	user8717594
2752269	user8717594
3341045	8850956
1213708	8850956
2815635	8850956
2538349	8850956
8240510	8850956
9086020	8850956
4804629	user9186735
2016653	7007462
9087423	9271226
7401610	1744104
2960971	1744104
4804629	9191897
5518817	1994782
3859027	1830228
4168354	5703969
2943403	2536680
1726005	7804896
2196608	413225
421223	413225
3143996	413225
1035030	413225
user8241064	413225
49478	413225
1456401	8881376
1961144	8881376
1595669	8881376
1407491	434269
1792292	6809545
6713758	1330199
5778463	773263
6790078	7384795
4746677	7384795
7576056	7384795
176603	454580
7955781	7955781
346905	382456
2943403	382456
3986005	8504877
8709966	6809545
6367660	user8553212
8457060	8457060
7450125	7545102
2936450	7545102
5423014	7545102
487813	7545102
4729332	7545102
5159168	8457060
8008107	8163679
5013193	8163679
6460212	1636199
3990767	4879275
3008492	4879275
2347438	2942439
7545555	2942439
681045	2942439
3392762	8517377
7498330	8517377
4369087	8517377
2453432	8517377
1231443	8517377
7656367	98514
1172545	5725233
4894466	8420154
5459839	7698411
1213708	7698411
6359551	7698411
5827005	7441072
1907917	7441072
7498878	7084148
1841760	7084148
4535200	7084148
5519659	7084148
1248114	7084148
1172545	5701299
2367057	4232109
7177498	5701299
590459	5701299
2938037	5701299
user8140418	773263
2003518	1330199
6521116	1330199
1518921	773263
257493	773263
1234924	434269
976343	326544
507674	773263
2167021	413225
40015	98514
3840799	455676
324584	434269
26210	434269
2689343	434269
870929	434269
1403638	434269
5173081	5725233
2901635	5725233
2630732	5725233
5711830	5703969
3255640	5703969
1353011	5703969
5060753	4232109
2082141	326544
2497154	98514
5173426	1456751
4447311	1456751
1150448	773263
1059477	773263
5085275	4097626
2834490	4097626
4804629	4097626
689579	4097626
1441828	4097626
3933332	4097626
2471423	4232109
4774312	4232109
4831515	398431
2792592	332726
3828166	434269
1496567	434269
1427345	434269
758554	413225
904360	434269
631764	398431
2689343	434269
118068	4154013
3231139	4154013
4020127	2378579
2844319	2378579
1281385	2378579
1662139	1662139
862594	1662139
3640825	1662139
2687506	2536680
1389232	2536680
2109568	434269
2351167	1183662
3049350	1183662
1450077	1183662
3691364	1183662
3059284	1183662
1665955	434269
646056	181691
1386649	434269
2990820	181691
2511140	434269
398060	326544
476	2451357
2427538	326544
1304684	332726
2304034	434269
2034876	434269
1948260	1850771
1899791	1850771
1813563	434269
655430	434269
1332569	455676
158014	773263
172588	773263
465738	455676
607332	181691
548225	181691
447979	181691
514582	181691
353790	181691
206403	413225
216214	398431
501165	398431
253059	398431
106463	398431
824984	455676
500224	326544
364868	455676
20128	455676
300873	455676
227665	455676
398519	455676
341275	434269
352583	382456
70393	382456
262056	382456
332807	332726
243414	332726
219743	332726
262040	332726
44562	98514
1902010	98514
202599	4460748
7450125	4460748
3522312	4460748
1248114	5744719
6056671	5660293
1213708	5660293
5159168	2090453
5234224	8091553
3316645	643850
5159168	8031245
6083759	8031245
5717907	8031245
5437621	8031245
1355249	8056986
7433655	8056986
4605105	8056986
6521116	8056986
2465584	4060544
165154	4060544
7603135	4060544
2943403	6807761
2043237	4169959
7617020	4169959
6747071	4169959
6521116	5742373
6521116	7174626
896244	7174626
476	3800879
6631691	2452680
654953	7563035
4979536	7563035
1029506	7739846
5710637	7739846
5423014	6807761
7244752	6807761
7654872	1052827
2060421	148496
7285448	7715167
4799714	148496
2255089	2104008
7325226	457021
2720798	3428842
2844319	7396073
2359679	7396073
1572657	3322798
4975792	2541634
159145	2541634
3650405	6344946
3102394	3102394
7541021	3102394
3906965	3936743
6269831	6405037
715105	6405037
1858357	6405037
5675556	5820626
1491895	1775416
3536236	7446306
1483117	7337033
5500224	7337033
1858357	4905918
5914910	4905918
1582331	2347438
7247090	3511855
1248114	3511855
6844462	6844462
3839885	6844462
3219608	5841824
6853387	5841824
1179287	5841824
4630325	6692958
4248328	5841824
5458806	5841824
user6533277	5841824
7171248	5841824
4568553	4568553
3994502	4568553
4296151	3146706
6671505	6766622
6877252	3146706
1279820	4025891
2066042	4025891
160565	1127709
675723	5134249
1561164	3887956
7065748	3887956
2324206	6149906
6029549	6149906
6871839	2348057
3222442	7034484
214405	7034484
5102590	7034484
5593878	6733315
1491143	6733315
5104748	7026395
6901447	6303439
6085840	1315422
1172798	1315422
2417624	2417624
3961074	2417624
6815740	1298102
6529365	718990
6586394	718990
6739414	6510101
6723734	4223447
1789393	4223447
5265091	2782001
1456201	2782001
6115599	6115599
2191572	3592801
1156798	3592801
938084	6312672
4061161	6312672
1491895	2356951
4453058	6381081
5933698	6381081
5234224	6381081
6308838	1477313
4624977	3686600
5882841	3764131
6284709	3686600
5447994	3686600
3942918	5886524
3704054	4021297
5782971	4021297
5234224	5886524
3185459	5886524
3622182	5886524
4243217	5339881
6143899	5339881
1271185	5339881
user3785693	1803347
5207302	1803347
6251776	2687790
3185459	6167229
1422364	4899935
4782314	6202097
5421473	2347311
2734189	5499756
3185459	5499756
2844319	5499756
3522312	5499756
6099055	5499756
6110451	732825
2015095	4225893
3544558	4225893
1206267	4225893
1222570	4225893
3976712	175553
1939584	175553
6076320	4404014
5831644	4404014
2218597	4404014
2649661	5263934
3229983	5263934
5113881	6054402
2667307	4395287
2377164	4497203
1491895	4497203
1196954	1477313
4969969	1477313
2257664	1477313
476	1477313
1147680	1477313
1545088	1477313
1866078	4489015
user4962466	5219247
4333555	5219247
5240569	732825
247372	732825
2136970	3957158
2882596	3957158
3684882	1127709
2427538	1127709
3619084	807146
878888	807146
2986349	807146
1418637	807146
762073	3147180
2021523	3147180
2269749	2104008
1705785	457021
1190388	1298102
727208	1298102
1278353	1298102
1127761	1127709
98378	127212
80836	127212
88383	127212
123415	127212
665771	127212
742249	127212
88487	732825
468027	732825
385378	732825
345031	732825
729539	732825
273141	732825
215966	732825
31039	127212
509597	457021
594553	457021
74314	127212
2829717	3671129
3287600	3671129
2750800	3671129
5423682	5759419
1248114	5759419
3934359	3934359
1155318	376947
2035354	5694681
1338292	3160747
2477442	3581013
401313	3581013
3699054	3115767
5422107	2009171
970616	3042117
2734189	3115767
2485666	3115767
5554447	3115767
3933332	3042117
2540014	3042117
4050842	5386041
4577762	5386041
1635676	300118
3179423	300118
2100549	4181097
user5134807	4725592
711206	1687621
user4039035	2218579
324584	2218579
1528407	2218579
4031969	2218579
3545790	1234941
3166303	1234941
3247211	2941926
279262	2941926
2634160	2941926
518703	2941926
4251547	5303834
3060141	4924943
2585850	4924943
1534463	4924943
3034718	4924943
5299903	5299903
4877278	5299903
790454	3431074
664563	3497351
296691	3497351
4431820	3850265
1041118	3850265
286304	3850265
3755991	1935441
1082646	1935441
312962	5230814
760211	3120665
2610061	5192376
1842104	2128154
4061161	1294131
4804629	1294131
740553	2120512
3933332	3120665
5104778	3120665
1878262	2120512
664108	2120512
2558525	5119670
2360157	5119670
3933332	1986818
583608	1986818
5019326	1986818
2344142	1417147
1558322	1417147
4729332	5064214
2735598	5064214
4900521	1314503
4436443	1314503
2422776	1673463
4877042	4877042
1296178	3751899
1248114	3436467
1595669	3436467
3933332	3436467
482256	2282217
3355051	3160747
3709765	3160747
2899618	3160747
3859027	3160747
1230257	3160747
2582498	4866176
2433866	user4893864
4873442	user4893864
4643607	4725592
1592247	4901528
4901528	4901528
797495	4901528
4903314	4725592
3709765	4725592
2899618	3085990
324584	3085990
284325	3085990
3859027	989440
284325	2348091
3631503	2348091
2087549	4830206
2030615	4706639
2180559	1376247
2844319	4706639
3954981	4706639
2551766	4427841
250259	4535540
1036745	4535540
46999	136998
1321813	1606597
345031	4018957
4469738	4018957
4645291	4018957
2743458	4018957
1503018	3408097
860034	4586728
3933332	4586728
3160747	4639383
1449801	4639383
3653989	4639383
4556692	4639383
2149694	3398804
3653989	4633951
3933332	3805018
3933332	4270833
998759	1014588
2832264	1014588
2334352	4111907
324584	4111907
1475548	4111907
4539315	4111907
4076516	4076516
2209007	4076516
4500812	4500812
1473841	3713884
878888	3713884
1122899	3169151
3657140	4373348
4265352	3036943
3933332	3036943
397935	3036943
1295902	3036943
3964063	3036943
4433070	3650385
3684882	2431414
3622250	2431414
900807	2431414
1561655	2431414
3933332	2431414
2731389	2665827
1032531	2665827
1948260	1983247
1520320	1983247
539153	310429
385273	310429
1293344	310429
375148	3186701
3933332	3186701
912130	1157244
2844319	1157244
519413	1672131
2724954	4067450
3558960	462627
3398633	2415293
3933332	4200311
4194814	4200311
2554537	979331
4035883	979331
4054278	979331
4181577	979331
2911482	979331
457124	644978
2176428	4132432
1153551	2746365
3859027	2746365
117259	840461
3444240	840461
3247703	3650385
1003917	905513
2799319	905513
2364629	1873432
465895	1873432
602525	1064660
990177	1658485
998096	1658485
466314	1658485
367456	1658485
1375025	1254256
1350209	1254256
476	1254256
831370	644978
276478	644978
515124	376947
169442	310429
235708	310429
118145	156532
70393	136998
120457	136998
53114	136998
4082957	3034235
1777956	3034235
1150619	3034235
445492	3034235
2522554	2172594
1083314	2172594
3474514	1283970
4031944	1283970
33918	1283970
2724954	1283970
2025928	1283970
250259	1283970
1518087	3775989
1428679	3358149
4080491	2217167
3658660	2217167
811240	2217167
3050853	2332746
3923308	2332746
2555778	2332746
2578037	2332746
1845790	1494102
1570534	2532203
2543285	2532203
1845790	2532203
3966009	193376
2482284	1951217
2447581	1951217
877594	1951217
1845790	1951217
3184785	1188826
3678068	3168230
3681400	701363
2111667	701363
797303	701363
2044940	3785969
451969	3785969
476	3783161
1188035	3783161
1967599	677756
117259	3334483
1338292	3334483
1437955	3334483
2352773	3684316
2253331	3684316
1110934	3684316
2072586	3528831
2204851	3528831
1923327	1261507
438117	1261507
3161034	user3620904
2528301	1261507
2219831	1261507
1317935	1261507
2973474	1327337
1880431	1327337
171318	119540
703229	119540
250259	119540
250259	3605495
1741042	1741042
1461097	1250527
839554	2662387
703229	2662387
1527124	2662387
1102626	2662387
3449107	3572808
264795	3572808
250259	3476944
1593142	3539894
3466818	3539894
1003917	2850618
1153551	2850618
1943011	2850618
1882314	1682826
2316460	2671228
1003917	2763680
2007044	2763680
1369601	2763680
user2533777	1501582
3258572	1501582
2224186	1501582
3447348	1682826
2228310	1682826
user3427568	1682826
2966846	1682826
2844319	2300604
3286819	3451964
3303195	3451964
1438393	2110565
1565862	1033882
1112089	1033882
3342100	1033882
1696166	1033882
2851216	3062543
487289	3062543
1581522	3062543
1948260	3332590
2428235	3332590
1468628	3166364
2274710	3166364
1039843	1853114
3181248	1853114
2965589	1853114
250259	3112869
429938	300118
2354564	2164671
2776426	2164671
1901400	2164671
3244244	3244244
1338292	1977569
733876	993106
993106	993106
1444609	723618
3065983	993106
user557846	993106
762073	3213525
1683134	1907444
2394511	1292738
2022562	1292738
8454	1292738
1288418	1907444
2164943	1907444
206403	1907444
1032750	1907444
1585380	289080
1957701	3116334
1209020	3116334
1835788	3116334
2936759	892490
1743833	892490
751564	751564
1704261	751564
3059590	3106292
1584275	3106292
258674	615395
1363495	615395
1194692	3139921
260998	2708493
1020526	2708493
552014	2708493
67332	2708493
2195721	2708493
1789515	1947848
user2680766	3129635
3113862	1947848
2641232	1947848
1503018	1947848
1662383	1947848
1202487	1947848
426533	1947848
1188035	3129635
2984457	2277139
1729885	2277139
1983854	1061008
1491895	1143597
1047535	3119165
106208	3119165
1438393	1061008
2902053	1061008
3012574	1061008
194574	1061008
3047005	1862131
2519416	1862131
713141	1862131
3088119	2010877
1438393	2452442
2547739	2452442
724027	2452442
746730	2452442
250259	2452442
883450	2452442
1338292	3056836
3020044	1842959
1086529	1842959
1983957	1842959
1697320	3000042
2526499	2401002
1581522	2401002
2300165	2861244
2921516	2861244
568109	2861244
2864275	2861244
1491895	2861244
765720	2861244
2622597	1089623
1206463	1089623
521032	1089623
995579	1089623
1491895	1730622
442945	1730622
1427878	2837935
112968	2837935
2094465	2567639
1280153	2567639
2777235	2567639
35116	209860
2459296	2276736
298053	2872127
2612112	2872127
1256403	2747418
1017963	2747418
538901	930026
2219557	930026
1769465	930026
223386	930026
1003917	2484538
2627459	2484538
1230836	2484538
2670583	665871
2670583	408482
1419321	2660409
2604607	2660409
2049063	2660409
1141093	2660409
1223045	2660409
1645769	575872
906113	575872
1634046	2422551
324584	2600831
1007220	2600831
2364629	1270812
938236	707852
345031	707852
2557900	457478
596602	606346
1286527	634772
402792	634772
585456	634772
276250	634772
1101223	457478
457478	457478
1062232	457478
164477	457478
634079	300118
103202	300118
819324	796837
251311	796837
722513	677756
476	677756
658127	665871
50079	665871
430062	665871
345031	665871
279966	665871
311254	193376
595602	193376
66353	289080
345031	606346
402253	408482
106224	408482
514445	1195835
1729885	1195835
2507211	1195835
662645	1195835
1932962	2450243
1540689	2450243
633098	2450243
2509214	2450243
763468	2502691
1058140	2143896
971392	736348
1226894	736348
1712686	736348
2125720	736348
1071311	736348
1207346	736348
669073	736348
1684380	1413432
78843	1413432
2366051	1311393
1771960	1311393
871050	128761
1450248	128761
1468708	128761
user557846	128761
113083	2125211
2379355	853613
740553	853613
1634695	853613
601991	2031505
2342306	2031505
449958	1171480
1035698	1171480
2167834	1008798
425648	1008798
2033408	1008798
2320622	1008798
2170192	2126391
493122	2126391
838733	2126391
2123644	2126391
390223	1921333
1926807	1921333
1269513	user2286494
1150613	user2286494
2188778	user2286494
444583	user2286494
1119835	user2286494
2156760	user2286494
1679187	511488
476	511488
1491895	1545622
2153758	1545622
1948691	1511423
1163444	1511423
1494993	1511423
87584	1511423
2012811	1511423
307310	1795473
50079	1795473
2122873	1860344
2226764	1860344
2046858	1860344
2004810	2037186
1422179	2037186
1422179	2126709
1172872	2126709
1437005	1897389
1913051	1897389
664108	1897389
247893	1897389
1223293	2001057
1069607	2001057
1790428	1714741
615746	1714741
1943590	1714741
1310995	1714741
184600	1714741
1175253	583916
1207294	1454083
333074	1454083
1495125	259786
846190	259786
1612146	259786
772035	1454083
1056973	1454083
112968	1454083
1687043	1454083
1755369	1454083
1768754	191140
871580	820750
367456	183806
1038004	183806
118068	183806
1226894	1817969
385273	1817969
1142004	1478255
295342	1478255
1267140	1478255
460974	1478255
1015448	1776351
4833	1776351
53114	768392
367456	768392
1679680	768392
740077	1495124
31671	1495124
916144	1632903
1557617	1632903
671943	1632903
1634524	569403
33522	569403
851493	1232366
1581929	1232366
1587715	2110294
970985	2110294
1450077	2110294
242203	1232366
679236	468312
50079	468312
513686	468312
229044	1294886
778430	1294886
619609	376947
451969	376947
1090079	1481563
1155439	1481563
1082620	1346673
250259	1346673
1396314	1045160
1402686	1045160
441250	1045160
1023432	1045160
223386	1045160
1286635	943340
496223	943340
548020	943340
181310	1387831
1149495	1387831
95108	1302527
999553	1302527
965907	1302527
476	277304
1369091	277304
916000	277304
250259	1008869
1091195	1008869
29125	user1170392
1267177	1143736
106302	1143736
1285809	505999
866809	505999
960510	505999
285587	1298102
106224	1298102
997842	921295
1105417	921295
321527	921295
1013228	921295
318758	1159454
87015	1159454
511300	376947
508666	376947
206403	596952
546999	596952
251311	596952
67153	230673
520531	230673
121804	230673
4714	820750
249538	820750
480943	820750
31274	548278
624305	548278
142162	548278
284932	284932
797086	817365
619036	817365
466826	817365
396458	376947
994054	284932
485676	284932
9021	998138
228846	998138
978756	998138
843985	998138
112968	998138
949209	1038814
59947	1038814
407658	1301769
794513	1301769
862594	1301769
31671	1301769
775385	672485
945722	user1000952
519808	user1000952
288773	293585
762073	905083
185672	905083
user557846	939488
576875	939488
50079	939488
421223	939488
899126	867674
104999	867674
35070	867674
553682	837917
281469	468312
299375	468312
218196	468312
189262	468312
810107	814664
255777	814664
25253	791187
519575	791187
397861	791187
339535	791187
164998	769985
353790	733358
475125	302926
327862	569403
421223	569403
543296	569403
701243	569403
533611	569403
476	569403
432519	552085
512993	672485
310117	672485
259778	561731
372239	655542
285619	655542
413323	655542
106224	1173600
521068	1173600
280598	1173600
381345	378622
385273	378622
31671	523348
22459	523348
512993	523348
459582	457827
309733	350230
385378	383609
153350	383609
453614	383609
41596	383609
4668	383609
173934	457827
385378	457827
208809	286090
192236	286090
423170	307007
352636	307007
29995	307007
206403	307007
381345	307007
319618	307007
323839	307007
398519	229678
401446	229678
395681	293585
203452	293585
187061	293585
127724	293585
74311	10755
212555	10755
170340	10755
340355	280329
53212	280329
208809	280329
375087	280329
198898	288234
243164	288234
12855	288234
75801	55321
187606	55321
64056	229705
218682	229705
207614	120448
6726	120448
146455	120448
64193	120448
116273	120448
186558	83916
20572	83916
188336	83916
192741	83916
83916	83916
11354	83916
4012	83916
20972	83916
153350	184610
18393	184610
